name,code,category,location
"Sultan Iskandar Muda","BTJ","Internasional","Banda Aceh"
"Cut Nyak Dhien","MEQ","Domestik","Nagan Raya"
"Lasikin","SNB","Domestik","Sinabang"
"Maimun Saleh","SBG","Domestik","Sabang"
"Malikus Saleh","LSW","Domestik","Lhokseumawe"
"Hamzah Fansuri","SKL","Domestik","Singkil"
"Teuku Cut Ali","TPK","Domestik","Tapaktuan"
"Kuala Namu","KNO","Internasional","Deli Serdang"
"Aek Godang","AEG","Domestik","Padang Lawas Utara"
"Binaka","GNS","Domestik","Gunung Sitoli"
"Dr. F. L. Tobing / Pinangsori","SIX","Domestik","Tapanuli Tengah"
"Lasondre","LSO","Domestik","Nias Selatan"
"Sibisa","SIW","Domestik","Toba Samosir"
"Silangit","SQT","Domestik","Tapanuli Utara"
"Minangkabau International Airport","PDG","Internasional","Padang"
"Rokot","RKI","Domestik","Kep. Mentawai"
"Sultan Syarif Kasim II","PKU","Internasional","Pekanbaru"
"Japura,Rengat","RGT","Domestik","Indragiri Hulu"
"Pasir Pengaraian","PPR","Domestik","Rokan Hulu"
"Raja Haji Fisabilillah","TNJ","Internasional","Tanjungpinang"
"Hang Nadim","BTH","Internasional","Batam"
"Dabo","SIG","Domestik TNI","Singkep,Lingga"
"Raja Haji Abdullah","TJB","Domestik TNI","Karimun"
"Sultan Mahmud Badaruddin II","PLM","Internasional","Palembang"
"Silampari","LLG","Domestik","Lubuklinggau"
"Fatmawati Soekarno","BKS","Domestik","Kota Bengkulu"
"Muko-muko","MPC","Domestik","Muko-muko"
"Depati Parbo","KRC","Domestik","Kerinci"
"Muara Bungo","MRB","Domestik","Bungo"
"Sultan Thaha","DJB","Domestik","Kota Jambi"
"Radin Inten II","TKG","Domestik","Lampung Selatan"
"Depati Amir","PGK","Domestik","Pangkal Pinang"
"H.A.S. Hanandjoeddin","TJQ","Domestik","Belitung"
"Halim Perdana Kusuma","HLP","Internasional","Jakarta Timur"
"Husein Sastranegara","BDO","Internasional","Bandung"
"Cakrabhuwanan","CBN","Domestik","Cirebon"
"Adi Sumarno","SOC","Internasional","Boyolali"
"Ahmad Yani","SRG","Internasional","Semarang"
"Dewadaru","KWB","Domestik","Jepara"
"Tunggul Wulung","CXP","Domestik","Cilacap"
"Adi Sutjipto","JOG","Internasional","Sleman"
"Abdurrahman Saleh","MLG","Domestik","Malang"
"Bawean – Harun Thohir","BWN","Domestik","Gresik"
"Blimbingsari","BWX","Domestik","Banyuwangi"
"Juanda","SUB","Internasional","Sidoarjo"
"Trunojoyo","SUP","Domestik","Sumenep"
"Budiarto","BTO","Domestik","Tangerang"
"Soekarno Hatta","CKG","Internasional","Tangerang"
"Ngurah Rai","DPS","Internasional","Denpasar"
"Nangapinoh","NPO","Domestik","Melawi"
"Pangsuma","PSU","Domestik","Kapuas Hulu"
"Rahadi Oesman","KTG","Domestik","Ketapang"
"Supadio","PNK","Internasional","Kubu Raya"
"Susilo","SQG","Domestik","Sintang"
"Bersujud / Batu Licin","BTW","Domestik","Tanah Bambu"
"Gusti Sjamsir Alam","KBU","Domestik","Kotabaru"
"Kota Bangun","TJG","Domestik","Tabalong"
"Syamsudin Noor","BDJ","Internasional","Banjarbaru"
"Beringin","MTW","Domestik","Barito Utara"
"H. Asan","SMQ","Domestik","Kotawaringin Timur"
"Iskandar","PKN","Domestik","Kotawaringin Barat"
"Kuala Kurun","KLK","Domestik","Gunung Mas"
"Kuala Pembuang","KLP","Domestik","Seruyan"
"Sanggu","BTK","Domestik","Barito Selatan"
"Tjilik Riwut","PKY","Domestik","Palangkaraya"
"Samba","TMB","Domestik","Katingan"
"Datah Dawai","DTD","Domestik","Kutai Barat"
"Kalimarau","BEJ","Domestik","Berau"
"Kota Bangun","KOD","Domestik","Kutai Kertanegara"
"Melalan Melak","MLK","Domestik","Kutai Barat"
"Sultan Aji Muhammad Sulaiman Sepinggan","BPN","Internasional","Balikpapan"
"Juwata","TRX","Internasional","Tarakan"
